X Y Z Doppler RCS Label Mahalanobis_Error
6.286060 2.225499 -1.067860 -0.511488 7.900000 0.000000 0.289426
5.729852 1.332072 -1.065620 -0.469236 8.840000 0.000000 1.227421
5.566035 0.714312 -1.061892 -0.603331 7.660000 0.000000 0.860808
5.759116 1.399728 -1.058958 -0.546116 8.240000 0.000000 0.061179
5.313757 3.364973 -1.058475 -0.484022 8.000000 0.000000 0.126503
6.258425 2.062714 -1.056284 -0.503369 8.210000 0.000000 0.484774
5.993956 0.810722 -1.054211 -0.531949 7.670000 0.000000 0.336759
5.683342 0.682128 -1.043083 -0.603364 8.180000 0.000000 0.842882
5.726267 1.763681 -1.041818 -0.507950 8.170000 0.000000 0.441853
6.495200 2.874159 -1.039893 -0.523931 8.730000 0.000000 0.146162
6.153744 1.600486 -1.038261 -0.545904 7.200000 0.000000 0.069136
6.465331 2.723530 -1.037740 -0.536531 7.880000 0.000000 0.294209
5.822917 0.821264 -1.034739 -0.511738 8.400000 0.000000 0.662926
5.206382 4.118052 -1.034657 -0.499989 8.880000 0.000000 0.917540
5.917556 1.481230 -1.034419 -0.509570 7.870000 0.000000 0.543057
6.542658 1.142671 -1.033832 -0.512918 7.730000 0.000000 0.630605
4.650760 3.265897 -1.031476 -0.489524 7.670000 0.000000 0.469101
6.810803 0.256125 -1.026545 -0.543072 8.170000 0.000000 0.242438
6.266678 2.919509 -1.024974 -0.533012 7.330000 0.000000 0.369046
6.331960 0.948682 -1.020639 -0.529173 8.870000 0.000000 0.387582
5.710366 0.858508 -1.018505 -0.511572 8.390000 0.000000 0.654758
5.723127 0.291732 -1.009291 -0.543111 7.730000 0.000000 0.204067
6.344314 0.539521 -1.006844 -0.512047 8.500000 0.000000 0.728982
6.337548 1.318039 -1.004140 -0.548182 8.050000 0.000000 0.002040
6.825802 1.855088 -1.002806 -0.532637 7.170000 0.000000 0.153373
5.371181 2.113587 -1.000168 -0.503489 7.630000 0.000000 0.299494
6.817284 1.229322 -0.987787 -0.531340 7.080000 0.000000 0.333892
6.356724 1.334843 -0.982579 -0.478622 7.980000 0.000000 1.151237
5.224455 2.098520 -0.971131 -0.534508 7.110000 0.000000 0.235680
6.316504 1.225571 -0.968220 -0.510899 7.820000 0.000000 0.642876
6.855488 -0.052921 -1.316756 -0.543000 7.760000 0.000000 0.181632
6.655538 -0.473631 -1.255602 -0.483366 7.890000 0.000000 1.140045
6.921539 -0.045062 -1.196327 -0.522947 8.480000 0.000000 0.543269
6.270605 -0.168033 -1.165472 -0.522894 7.160000 0.000000 0.517694
6.789559 -0.409820 -1.158531 -0.544135 7.430000 0.000000 0.169113
5.956943 -0.165478 -1.145377 -0.573391 9.720000 0.000000 0.328908
6.758940 -0.399452 -1.134568 -0.553760 8.420000 0.000000 0.014569
5.686464 -1.360783 -1.132926 -0.491758 7.710000 0.000000 0.732688
6.978806 -0.510271 -1.131948 -0.543000 7.720000 0.000000 0.189514
5.923824 -0.202183 -1.128528 -0.542819 7.470000 0.000000 0.177121
6.825269 -0.083838 -1.117987 -0.522932 7.900000 0.000000 0.554642
6.889541 -0.265626 -1.117276 -0.553903 6.520000 0.000000 0.032980
6.469209 -1.217329 -1.113820 -0.531720 7.510000 0.000000 0.210158
5.756966 -3.327718 -1.108027 -0.493210 8.020000 0.000000 0.285847
6.172016 -0.164575 -1.107010 -0.522894 7.480000 0.000000 0.527657
6.508265 -1.134174 -1.102853 -0.531027 7.100000 0.000000 0.249399
5.802921 -2.397960 -1.099867 -0.473570 8.440000 0.000000 0.588585
6.364555 -1.199894 -1.097179 -0.531683 7.830000 0.000000 0.209842
6.687566 -2.142996 -1.095461 -0.541120 7.960000 0.000000 0.231824
5.804134 -1.383345 -1.070842 -0.491815 7.640000 0.000000 0.755361
6.925233 -0.042141 -1.060277 -0.543810 6.860000 0.000000 0.224880
5.596931 -3.655393 -1.045916 -0.543000 7.580000 0.000000 1.370272
5.503345 -2.241999 -1.032996 -0.538577 6.880000 0.000000 0.467611
6.590879 -0.639703 -1.026436 -0.542397 7.070000 0.000000 0.185244
5.625968 -3.287315 -1.013733 -0.519538 8.110000 0.000000 0.731666
5.511217 -3.598343 -1.008982 -0.543000 7.830000 0.000000 1.366228
6.655228 -2.415066 -1.004730 -0.512133 7.520000 0.000000 0.144274
5.777840 -2.559656 -0.992075 -0.504478 7.760000 0.000000 0.004149
6.351903 -2.401780 -0.980314 -0.509499 7.230000 0.000000 0.139770
6.112469 -3.043875 -0.964750 -0.522857 7.610000 0.000000 0.467228
5.363554 -2.617859 -0.917659 -0.521836 7.570000 0.000000 0.430001
6.079015 4.358095 -1.378034 -0.444224 7.480000 0.000000 0.227254
6.868031 4.886667 -1.371732 -0.452786 7.520000 0.000000 0.129429
7.785766 1.990764 -1.352498 -0.512659 7.610000 0.000000 0.483216
8.162829 1.456298 -1.319807 -0.543398 6.770000 0.000000 0.116242
6.557950 4.225231 -1.306591 -0.536718 8.360000 0.000000 1.035532
7.769424 2.731167 -1.298277 -0.527507 7.580000 0.000000 0.033768
6.493080 4.128066 -1.291556 -0.537232 8.910000 0.000000 1.015496
7.853306 0.531812 -1.283892 -0.521899 7.990000 0.000000 0.567896
6.768610 3.498571 -1.276116 -0.519162 7.630000 0.000000 0.322167
6.644783 2.800476 -1.272563 -0.543304 8.300000 0.000000 0.442807
7.748015 3.207939 -1.265753 -0.475000 7.360000 0.000000 0.741788
7.602041 2.299428 -1.260617 -0.512384 7.510000 0.000000 0.401318
7.878306 2.763951 -1.259642 -0.527620 8.410000 0.000000 0.041961
6.740963 4.460846 -1.259107 -0.488304 8.490000 0.000000 0.280243
7.873353 1.939786 -1.254074 -0.523459 6.800000 0.000000 0.340347
8.185955 1.847567 -1.251038 -0.543000 7.260000 0.000000 0.061474
6.238286 4.164917 -1.250659 -0.455340 8.500000 0.000000 0.233056
7.067840 1.526106 -1.250245 -0.483056 7.640000 0.000000 1.039213
6.470711 3.083328 -1.248430 -0.506913 6.200000 0.000000 0.001253
7.483408 3.063216 -1.244433 -0.500606 8.290000 0.000000 0.327699
6.306914 4.584146 -1.243716 -0.449775 7.110000 0.000000 0.130099
6.847079 2.037271 -1.242551 -0.521198 7.520000 0.000000 0.246140
6.738583 2.948036 -1.241483 -0.489733 7.590000 0.000000 0.407769
6.109283 4.048809 -1.240782 -0.486361 7.950000 0.000000 0.266786
7.665353 0.408723 -1.240652 -0.523085 7.540000 0.000000 0.555466
8.067643 2.998002 -1.240595 -0.474753 6.900000 0.000000 0.870912
7.785434 3.640887 -1.236133 -0.523797 8.050000 0.000000 0.216979
6.874838 4.362306 -1.231099 -0.467296 8.100000 0.000000 0.165425
5.648209 5.157974 -1.226025 -0.438978 7.210000 0.000000 0.323848
7.089855 1.254781 -1.223205 -0.543000 8.250000 0.000000 0.110206
7.766786 3.246242 -1.223172 -0.526081 8.150000 0.000000 0.108752
7.190176 1.316059 -1.219166 -0.543000 8.130000 0.000000 0.106093
6.659780 3.931521 -1.216504 -0.496877 8.630000 0.000000 0.181810
7.661806 3.638430 -1.215739 -0.517448 8.210000 0.000000 0.133538
7.242093 3.805191 -1.215103 -0.499546 7.040000 0.000000 0.002519
6.975273 3.958653 -1.215010 -0.544311 7.690000 0.000000 0.884685
